"x","y"
151.98690611094,148.863338257535
38.8032349219789,18.448616401423
148.149043172214,54.214568731973
84.3533914923239,152.658499226011
246.119357807443,266.59871898527
200.146682614896,38.3298270429127
155.431986532481,10.1870432062643
15.1234736046636,99.4105472537357
182.665293158287,285.05926710765
265.65479375089,224.089954965962
273.479900407997,264.893239601486
222.436406620098,129.062066314264
174.233637268634,249.176088962105
16.978639171411,202.319549557148
106.906746267756,63.6152151715193
224.126298535935,79.1705021332815
89.0030004052089,221.158112463773
256.122373147205,160.578423142574
33.1227045649374,259.568849445645
287.440526474023,195.10696071491
254.364764596624,181.07265564492
200.027992126945,194.856803394799
281.162127950291,104.697807593996
139.737292486021,247.332894465932
58.0602842328734,287.371171689261
